Lake	Code	TIME	Depth	Trans	Shore	pH	DO	Temp	SpeciesRichness	Abundance	Area	LogArea
Noh-Bec	NB1	08:20	170	140	40	7.99	5.34	27.7	2	11	9722476	6.98777688
Noh-Bec	NB2	08:33	150	150	30	7.92	4.91	29.2	4	16	9722476	6.98777688
Noh-Bec	NB3	10:06	210	130	30	8.04	5.46	29.6	4	29	9722476	6.98777688
Noh-Bec	NB4	10:17	170	160	30	7.88	4.98	29.9	4	4	9722476	6.98777688
Noh-Bec	NB5	12:00	120	100	30	7.98	4.93	30.9	5	14	9722476	6.98777688
Noh-Bec	NB6	12:07	170	140	10	7.93	4.67	31.5	2	28	9722476	6.98777688
Noh-Bec	NB7	13:55	125	100	5	8	4.76	31.5	6	40	9722476	6.98777688
Noh-Bec	NB8	14:06	140	110	10	7.9	4.48	31.1	2	3	9722476	6.98777688
Noh-Bec	NB9	11:23	140	110	30	7.77	2.91	30.8	2	3	9722476	6.98777688
Noh-Bec	NB10	11:33	145	110	30	7.75	2.48	30.8	1	12	9722476	6.98777688
Noh-Bec	NB11	12:39	110	80	90	7.75	3.65	31.9	3	3	9722476	6.98777688
Noh-Bec	NB12	12:47	120	90	60	7.68	3.67	32.5	3	16	9722476	6.98777688
Noh-Bec	NB13	13:48	175	130	45	7.58	3.27	32.3	2	2	9722476	6.98777688
Noh-Bec	NB14	13:55	170	110	30	7.68	3.82	32.3	4	13	9722476	6.98777688
Noh-Bec	NB15	15:06	145	110	10	7.76	3.84	32.3	5	15	9722476	6.98777688
Noh-Bec	NB16	15:22	170	130	10	7.73	3.76	32.2	2	5	9722476	6.98777688
Petcacab	PC1	11:18	180	120	40	7.76	4.59	29.9	5	33	3192165	6.504085332
Petcacab	PC2	11:27	140	110	72	7.46	4.3	30	5	24	3192165	6.504085332
Petcacab	PC3	12:40	125	100	58	7.72	4.92	30.8	4	11	3192165	6.504085332
Petcacab	PC4	12:51	115	90	32	7.66	5.06	32.2	6	62	3192165	6.504085332
Petcacab	PC5	15:56	130	90	20	7.89	5.63	32.7	4	46	3192165	6.504085332
Petcacab	PC6	16:06	130	100	13	7.77	5.56	32.6	5	23	3192165	6.504085332
Petcacab	PC7	17:08	120	80	20	7.86	5.27	32.4	3	68	3192165	6.504085332
Petcacab	PC8	17:15	300	70	30	7.76	5.53	30.6	5	21	3192165	6.504085332
Petcacab	PC9	11:40	300	90	80	7.43	4.28	30.2	1	12	3192165	6.504085332
Petcacab	PC10	11:45	125	90	30	6.7	4.08	31.3	4	12	3192165	6.504085332
Petcacab	PC11	12:53	110	70	10	7.25	4.24	31.4	2	4	3192165	6.504085332
Petcacab	PC12	13:00	145	70	29	7.32	3.96	30.7	3	37	3192165	6.504085332
Petcacab	PC13	13:54	150	110	41	7.74	4.29	30.9	1	12	3192165	6.504085332
Petcacab	PC14	14:02	150	110	30	7.45	4	30.7	2	2	3192165	6.504085332
Petcacab	PC15	14:38	150	100	29	7.45	4.36	30.5	3	14	3192165	6.504085332
Petcacab	PC16	14:45	200	100	58	6.94	4	30.4	2	2	3192165	6.504085332
Santa Teresita	ST1	11:16	400	115	16	7.3	3.8	31.3	3	16	1699604	6.230347745
Santa Teresita	ST2	11:21	250	110	5	7.4	3.76	31.4	2	7	1699604	6.230347745
