Code	Lake	Lat	Long	Depth	Trans	Shore	pH	DO	Temp	Area	Subs	Oreo
NB1	Noh-Bec	19.1	88.2	170	140	40	7.99	5.34	27.7	9722476	2	A
NB2	Noh-Bec	19.1	88.2	150	150	42.93	7.92	4.91	29.2	9722476	2	A
NB3	Noh-Bec	19.1	88.2	210	130	22	8.04	5.46	29.6	9722476	2	A
NB4	Noh-Bec	19.1	88.2	170	160	15	7.88	4.98	29.9	9722476	2	A
NB5	Noh-Bec	19.1	88.2	120	100	8	7.98	4.93	30.9	9722476	2	A
NB6	Noh-Bec	19.1	88.2	170	140	8	7.93	4.67	31.5	9722476	2	A
NB7	Noh-Bec	19.1	88.2	125	100	5	8	4.76	31.5	9722476	2	A
NB8	Noh-Bec	19.1	88.2	140	110	15	7.9	4.48	31.1	9722476	2	A
NB9	Noh-Bec	19.1	88.2	140	110	30	7.77	2.91	30.8	9722476	2	A
NB10	Noh-Bec	19.1	88.2	145	110	5	7.75	2.48	30.8	9722476	2	A
NB11	Noh-Bec	19.1	88.2	110	80	75	7.75	3.65	31.9	9722476	2	A
NB12	Noh-Bec	19.1	88.2	120	90	100	7.68	3.67	32.5	9722476	2	A
NB13	Noh-Bec	19.1	88.2	175	130	60	7.58	3.27	32.3	9722476	2	A
NB14	Noh-Bec	19.1	88.2	170	110	47	7.68	3.82	32.3	9722476	2	A
NB15	Noh-Bec	19.1	88.2	145	110	22	7.76	3.84	32.3	9722476	2	A
NB16	Noh-Bec	19.1	88.2	170	130	7	7.73	3.76	32.2	9722476	2	A
PC1	Petcacab	19.3	88.3	180	120	46	7.76	4.59	29.9	3192165	1	P
PC2	Petcacab	19.3	88.3	140	110	25	7.46	4.3	30	3192165	1	P
PC3	Petcacab	19.3	88.3	125	100	65	7.72	4.92	30.8	3192165	1	P
PC4	Petcacab	19.3	88.3	115	90	34	7.66	5.06	32.2	3192165	1	P
PC5	Petcacab	19.3	88.3	130	90	16	7.89	5.63	32.7	3192165	1	P
PC6	Petcacab	19.3	88.3	130	100	17	7.77	5.56	32.6	3192165	1	P
PC7	Petcacab	19.3	88.3	120	80	2	7.86	5.27	32.4	3192165	1	P
PC8	Petcacab	19.3	88.3	300	70	40	7.76	5.53	30.6	3192165	1	P
