Site	Lake	Thorichthys meeki	Atherinella alvarezi	Mayaheros urophthalmus	Petenia splendida	Vieja melanurus	Trichromis salvini	Belonesox belizanus	Astyanax bacalarensis	Dorosoma petenense	Oreochromis sp	Rhamdia guatemalensis	Poecilia mexicana	Parachromis multifasciatus	Cryptoheros chetumalensis	Cribroheros robertsoni	Hyphessobrycon compressus	Gambusia yucatana	Poecilia kykesis
NB1	Noh-Bec	6	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0
NB2	Noh-Bec	4	0	1	0	0	0	0	0	10	0	0	0	0	0	0	0	1	0
NB3	Noh-Bec	21	0	3	0	2	0	0	0	3	0	0	0	0	0	0	0	0	0
NB4	Noh-Bec	1	0	0	1	1	0	0	0	1	0	0	0	0	0	0	0	0	0
NB5	Noh-Bec	6	0	0	0	2	2	0	0	0	0	0	0	0	2	0	0	2	0
NB6	Noh-Bec	26	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0
NB7	Noh-Bec	3	2	1	0	2	1	0	0	31	0	0	0	0	0	0	0	0	0
NB8	Noh-Bec	0	0	2	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
NB9	Noh-Bec	2	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
NB10	Noh-Bec	12	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
NB11	Noh-Bec	0	0	0	0	0	0	0	1	1	0	0	0	0	0	1	0	0	0
NB12	Noh-Bec	5	0	0	0	0	1	0	0	10	0	0	0	0	0	0	0	0	0
NB13	Noh-Bec	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
NB14	Noh-Bec	4	2	0	0	3	0	0	0	4	0	0	0	0	0	0	0	0	0
NB15	Noh-Bec	11	0	0	1	1	1	0	0	1	0	0	0	0	0	0	0	0	0
NB16	Noh-Bec	4	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0
PC1	Petcacab	0	0	0	0	3	0	0	19	9	1	0	0	0	0	0	1	0	0
PC2	Petcacab	6	0	0	0	3	1	0	0	13	1	0	0	0	0	0	0	0	0
PC3	Petcacab	0	0	0	1	2	0	0	4	4	0	0	0	0	0	0	0	0	0
PC4	Petcacab	0	0	0	1	2	2	0	42	13	0	0	0	0	0	0	2	0	0
PC5	Petcacab	1	0	0	0	1	0	0	38	6	0	0	0	0	0	0	0	0	0
PC6	Petcacab	1	0	0	0	1	1	0	17	3	0	0	0	0	0	0	0	0	0
PC7	Petcacab	1	0	0	0	0	0	0	65	0	0	0	0	0	2	0	0	0	0
PC8	Petcacab	2	0	0	0	0	0	0	11	6	0	1	0	0	1	0	0	0	0
PC9	Petcacab	0	0	0	0	0	0	0	0	12	0	0	0	0	0	0	0	0	0
PC10	Petcacab	1	0	0	0	2	0	0	6	3	0	0	0	0	0	0	0	0	0
PC11	Petcacab	0	1	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0
PC12	Petcacab	13	0	0	0	0	0	0	22	2	0	0	0	0	0	0	0	0	0
PC13	Petcacab	0	0	0	0	0	0	0	0	12	0	0	0	0	0	0	0	0	0
PC14	Petcacab	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0
PC15	Petcacab	2	0	0	0	0	0	0	1	11	0	0	0	0	0	0	0	0	0
PC16	Petcacab	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0
ST1	Santa Teresita	2	0	0	0	0	0	0	0	13	0	0	0	0	0	1	0	0	0
ST2	Santa Teresita	0	0	0	0	0	0	0	6	1	0	0	0	0	0	0	0	0	0
ST3	Santa Teresita	0	0	0	0	0	0	0	12	1	0	0	0	0	0	0	0	0	0
ST4	Santa Teresita	4	0	0	0	0	0	0	3	29	0	0	0	0	0	0	0	0	0
ST5	Santa Teresita	1	0	0	0	0	0	0	0	49	0	0	0	0	0	0	0	0	0
ST6	Santa Teresita	3	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
ST7	Santa Teresita	1	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
ST8	Santa Teresita	1	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0
ST9	Santa Teresita	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ST10	Santa Teresita	5	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
ST11	Santa Teresita	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
ST12	Santa Teresita	8	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0
ST13	Santa Teresita	12	0	1	0	0	0	0	0	1	0	0	0	0	0	2	0	0	0
ST14	Santa Teresita	4	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0
ST15	Santa Teresita	5	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ST16	Santa Teresita	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
SF1	San Felipe	4	6	0	0	0	0	0	0	22	0	1	0	0	0	0	0	0	0
SF2	San Felipe	1	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0
SF3	San Felipe	3	6	0	0	0	0	0	0	14	0	2	0	0	0	0	0	0	0
SF4	San Felipe	1	0	0	0	0	0	0	0	18	0	4	0	0	0	0	0	0	0
SF5	San Felipe	2	0	0	2	0	0	0	0	18	0	1	0	0	0	0	0	0	0
SF6	San Felipe	1	0	0	0	1	1	0	0	12	0	0	0	0	0	0	0	0	0
SF7	San Felipe	1	0	0	0	0	0	0	0	2	0	1	0	0	0	0	0	0	0
SF8	San Felipe	2	0	1	0	0	0	0	1	2	0	0	0	0	0	0	0	0	0
SF9	San Felipe	2	3	0	0	0	0	0	1	7	0	0	0	0	0	0	0	0	0
SF10	San Felipe	2	2	1	0	0	0	0	1	19	0	3	0	0	0	0	0	0	0
SF11	San Felipe	6	0	0	0	0	0	1	0	17	0	3	0	0	0	0	0	0	0
SF12	San Felipe	1	0	0	0	0	0	0	1	17	0	0	1	0	0	0	0	0	0
SF13	San Felipe	1	1	0	0	0	0	0	4	4	0	1	0	0	0	0	0	0	0
SF14	San Felipe	5	0	0	0	0	0	0	0	1	0	3	0	0	0	0	0	0	0
SF15	San Felipe	6	0	0	0	0	0	0	5	1	0	2	0	0	0	0	0	0	0
SF16	San Felipe	6	0	1	0	0	0	0	1	5	1	0	2	0	0	0	0	0	0
CA1	Caobas	1	0	1	0	0	0	1	69	15	0	0	1	0	0	0	0	0	0
CA2	Caobas	1	0	0	0	0	0	0	3	13	0	0	0	0	0	0	0	0	0
CA3	Caobas	0	0	1	1	1	0	0	0	12	0	0	0	0	0	0	0	0	1
CA4	Caobas	7	0	2	0	2	0	0	14	10	0	0	3	0	0	0	0	0	0
CA5	Caobas	2	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0
CA6	Caobas	1	0	0	2	0	0	1	3	11	0	1	2	0	0	0	0	0	0
CA7	Caobas	0	1	0	0	1	0	0	20	28	0	1	0	1	0	0	0	0	0
CA8	Caobas	0	0	0	0	0	0	0	13	32	0	2	2	1	0	0	0	0	0
CA9	Caobas	1	0	1	2	0	0	0	0	3	0	0	0	0	0	7	1	0	0
CA10	Caobas	2	0	0	1	0	0	0	6	2	0	0	0	0	0	1	0	0	0
CA11	Caobas	2	0	0	1	0	0	0	2	6	0	0	0	0	0	0	0	0	0
CA12	Caobas	1	4	0	0	0	0	0	3	4	0	0	0	0	0	1	0	0	0
CA13	Caobas	3	0	0	0	0	0	0	1	39	0	0	0	0	0	0	1	0	0
CA14	Caobas	0	0	0	0	0	0	0	3	20	0	0	0	0	0	0	0	0	0
CA15	Caobas	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CA16	Caobas	5	10	2	0	1	0	0	8	14	0	0	0	0	0	0	0	0	0
CH1	Chacambacab	2	0	0	1	5	0	0	39	6	0	0	0	0	0	0	0	0	0
