Lake	Noh-Bec	Noh-Bec	Noh-Bec	Noh-Bec	Noh-Bec	Noh-Bec	Noh-Bec	Noh-Bec	Noh-Bec	Noh-Bec	Noh-Bec	Noh-Bec	Noh-Bec	Noh-Bec	Noh-Bec	Noh-Bec	Petcacab	Petcacab	Petcacab	Petcacab	Petcacab	Petcacab	Petcacab	Petcacab	Petcacab	Petcacab	Petcacab	Petcacab	Petcacab	Petcacab	Petcacab	Petcacab	Santa Teresita	Santa Teresita	Santa Teresita	Santa Teresita	Santa Teresita	Santa Teresita	Santa Teresita	Santa Teresita	Santa Teresita	Santa Teresita	Santa Teresita	Santa Teresita	Santa Teresita	Santa Teresita	Santa Teresita	Santa Teresita	San Felipe	San Felipe	San Felipe	San Felipe	San Felipe	San Felipe	San Felipe	San Felipe	San Felipe	San Felipe	San Felipe	San Felipe	San Felipe	San Felipe	San Felipe	San Felipe	Caobas	Caobas	Caobas	Caobas	Caobas	Caobas	Caobas	Caobas	Caobas	Caobas	Caobas	Caobas	Caobas	Caobas	Caobas	Caobas	Chacambacab	Chacambacab	Chacambacab	Chacambacab	Chacambacab	Chacambacab	Chacambacab	Chacambacab	Chacambacab	Chacambacab	Chacambacab	Chacambacab	Chacambacab	Chacambacab	Chacambacab	Chacambacab
Thorichthys meeki	6	4	21	1	6	26	3	0	2	12	0	5	0	4	11	4	0	6	0	0	1	1	1	2	0	1	0	13	0	0	2	0	2	0	0	4	1	3	1	1	2	5	0	8	12	4	5	5	4	1	3	1	2	1	1	2	2	2	6	1	1	5	6	6	1	1	0	7	2	1	0	0	1	2	2	1	3	0	0	5	2	0	2	4	0	4	0	0	0	1	0	2	2	2	2	2
Atherinella alvarezi	0	0	0	0	0	0	2	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	0	6	0	0	0	0	0	3	2	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	4	0	0	0	10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Mayaheros urophthalmus	0	1	3	0	0	0	1	2	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	1	1	0	1	2	0	0	0	0	1	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0
Petenia splendida	0	0	0	1	0	0	0	1	0	0	0	0	0	0	1	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	2	0	0	2	1	1	0	0	0	0	0	1	0	0	0	1	1	0	0	0	0	0	0	1	0	0	0
Vieja melanurus	0	0	2	1	2	0	2	0	1	0	0	0	1	3	1	0	3	3	2	2	1	1	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	2	0	0	1	0	0	0	0	0	0	0	0	1	5	2	1	2	0	0	0	0	3	2	0	2	1	1	2	1
Trichromis salvini	0	0	0	0	2	0	1	0	0	0	0	1	0	0	1	0	0	1	0	2	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
Belonesox belizanus	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Astyanax bacalarensis	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	19	0	4	42	38	17	65	11	0	6	0	22	0	1	1	1	0	6	12	3	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	1	1	1	0	1	4	0	5	1	69	3	0	14	0	3	20	13	0	6	2	3	1	3	0	8	39	0	4	5	1	2	0	0	45	6	3	0	25	22	0	0
Dorosoma petenense	5	10	3	1	0	2	31	0	0	0	1	10	0	4	1	0	9	13	4	13	6	3	0	6	12	3	3	2	12	1	11	1	13	1	1	29	49	1	1	1	0	1	1	1	1	1	0	0	22	0	14	18	18	12	2	2	7	19	17	17	4	1	1	5	15	13	12	10	0	11	28	32	3	2	6	4	39	20	0	14	6	0	7	14	3	7	0	0	27	16	33	5	9	20	6	7
Oreochromis sp	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
